premise	initial	counterfactual	original_ending	generated_ending	bert_o1h1	bert_o1h123	bert_consec
Rob loved to play soccer and was on his middle school team.	They had just started their season and were playing their first game.	When he graduated from middle school, he started learning to play the guitar.	Rob accidentally tripped over another player during the game. The other player was mad, but Rob apologized and kept his composure. Rob ended up playing the best game of his life!	DEPRECATED	-1	-1	-1
Rob loved to play soccer and was on his middle school team.	They had just started their season and were playing their first game.	When he graduated from middle school, he started learning to play the guitar.	Rob accidentally tripped over another player during the game. The other player was mad, but Rob apologized and kept his composure. Rob ended up playing the best game of his life!	DEPRECATED	-1	-1	-1
Rob loved to play soccer and was on his middle school team.	They had just started their season and were playing their first game.	When he graduated from middle school, he started learning to play the guitar.	Rob accidentally tripped over another player during the game. The other player was mad, but Rob apologized and kept his composure. Rob ended up playing the best game of his life!	Rob was a great player and was always the center of attention. He was always great guy, but Rob was also a great person. Rob was a great guy, but he was also a great person.	-1	-1	-1
Carl stayed home alone while his parents were on a trip.	He was hungry and ordered food.	He was full of food and didn't want any more.	After an hour of waiting, Carl fell asleep. 3 hours later, a knock on the door woke him up. The food had arrived and Carl was excited.	After a while, he started to feel sick. He was sick, but he didn't want to die. He wanted to live and he was going to live.	3.737358808517456	3.260436773300171	3.9314708709716797
Carl stayed home alone while his parents were on a trip.	He was hungry and ordered food.	He was full of food and didn't want any more.	After an hour of waiting, Carl fell asleep. 3 hours later, a knock on the door woke him up. The food had arrived and Carl was excited.	He was hungry and wanted to eat. He was hungry, but he didn't want to eat. He was hungry, but he didn't want to eat.	-1	-1	-1
Carl stayed home alone while his parents were on a trip.	He was hungry and ordered food.	He was full of food and didn't want any more.	After an hour of waiting, Carl fell asleep. 3 hours later, a knock on the door woke him up. The food had arrived and Carl was excited.	He was hungry and didn't want to eat. He was tired, and he didn't want to sleep. He was tired of being alone.	4.459042549133301	4.251864910125732	3.7331950664520264
Carl stayed home alone while his parents were on a trip.	He was hungry and ordered food.	He was full of food and didn't want any more.	After an hour of waiting, Carl fell asleep. 3 hours later, a knock on the door woke him up. The food had arrived and Carl was excited.	DEPRECATED	-1	-1	-1
Carl stayed home alone while his parents were on a trip.	He was hungry and ordered food.	He was full of food and didn't want any more.	After an hour of waiting, Carl fell asleep. 3 hours later, a knock on the door woke him up. The food had arrived and Carl was excited.	He was hungry and didn't want to eat. He was tired, and he didn't want to sleep. The only thing he wanted to do was to sleep.	4.459042549133301	4.247415542602539	4.005002975463867
Carl stayed home alone while his parents were on a trip.	He was hungry and ordered food.	He was full of food and didn't want any more.	After an hour of waiting, Carl fell asleep. 3 hours later, a knock on the door woke him up. The food had arrived and Carl was excited.	After an hour of waiting, Carl fell asleep. He woke up, and he was hungry. He ate some of the food, and then he went to the bathroom.	4.771544456481934	5.115856647491455	4.399874846140544
Carl stayed home alone while his parents were on a trip.	He was hungry and ordered food.	He was full of food and didn't want any more.	After an hour of waiting, Carl fell asleep. 3 hours later, a knock on the door woke him up. The food had arrived and Carl was excited.	DEPRECATED	-1	-1	-1
Carl stayed home alone while his parents were on a trip.	He was hungry and ordered food.	He was full of food and didn't want any more.	After an hour of waiting, Carl fell asleep. 3 hours later, a knock on the door woke him up. The food had arrived and Carl was excited.	He was hungry and didn't want to eat. He was tired, and he didn't want to sleep. The only thing he could think about was his mother.	4.459042549133301	4.490211009979248	3.6237118244171143
Janice was excited to bring cupcakes to her work for her birthday.	She worked all day on making the perfect frosting.	She completely rushed making the frosting.	Each cupcake was truly a work of art. Everyone at her work loved them. Janice was thrilled and happy for the rest of the day.	She was so excited to make cupcakes for her birthday. She was so excited to make cupcakes for her birthday. Janice was excited to bring cupcakes to her work for her birthday.	-1	-1	-1
Janice was excited to bring cupcakes to her work for her birthday.	She worked all day on making the perfect frosting.	She completely rushed making the frosting.	Each cupcake was truly a work of art. Everyone at her work loved them. Janice was thrilled and happy for the rest of the day.	DEPRECATED	-1	-1	-1
Janice was excited to bring cupcakes to her work for her birthday.	She worked all day on making the perfect frosting.	She completely rushed making the frosting.	Each cupcake was truly a work of art. Everyone at her work loved them. Janice was thrilled and happy for the rest of the day.	DEPRECATED	-1	-1	-1
Janice was excited to bring cupcakes to her work for her birthday.	She worked all day on making the perfect frosting.	She completely rushed making the frosting.	Each cupcake was truly a work of art. Everyone at her work loved them. Janice was thrilled and happy for the rest of the day.	DEPRECATED	-1	-1	-1
Janice was excited to bring cupcakes to her work for her birthday.	She worked all day on making the perfect frosting.	She completely rushed making the frosting.	Each cupcake was truly a work of art. Everyone at her work loved them. Janice was thrilled and happy for the rest of the day.	DEPRECATED	-1	-1	-1
Janice was excited to bring cupcakes to her work for her birthday.	She worked all day on making the perfect frosting.	She completely rushed making the frosting.	Each cupcake was truly a work of art. Everyone at her work loved them. Janice was thrilled and happy for the rest of the day.	DEPRECATED	-1	-1	-1
Janice was excited to bring cupcakes to her work for her birthday.	She worked all day on making the perfect frosting.	She completely rushed making the frosting.	Each cupcake was truly a work of art. Everyone at her work loved them. Janice was thrilled and happy for the rest of the day.	DEPRECATED	-1	-1	-1
Janice was excited to bring cupcakes to her work for her birthday.	She worked all day on making the perfect frosting.	She completely rushed making the frosting.	Each cupcake was truly a work of art. Everyone at her work loved them. Janice was thrilled and happy for the rest of the day.	DEPRECATED	-1	-1	-1
Sarah didn't like the food her school served besides the burritos.	So she only bought lunch when they were serving them.	So she skipped eating a lunch in her school.	But one day, it was announced that they would no longer serve them. Sarah recorded herself eating her last school burrito. Sarah save the video.	But one day, she was hungry and decided to go to the cafeteria. "I was hungry and I wanted to go to the cafeteria," she said. "I was hungry.	5.011584281921387	5.086549758911133	4.400834242502849
Sarah didn't like the food her school served besides the burritos.	So she only bought lunch when they were serving them.	So she skipped eating a lunch in her school.	But one day, it was announced that they would no longer serve them. Sarah recorded herself eating her last school burrito. Sarah save the video.	But she didn't want to miss that lunch. Sarah was hungry. She wanted the burritos.	4.906835079193115	5.2625579833984375	3.798021078109741
Sarah didn't like the food her school served besides the burritos.	So she only bought lunch when they were serving them.	So she skipped eating a lunch in her school.	But one day, it was announced that they would no longer serve them. Sarah recorded herself eating her last school burrito. Sarah save the video.	But she didn't want to miss that lunch. Sarah was hungry. She wanted to eat.	4.906835079193115	5.206467151641846	3.747248570124308
Sarah didn't like the food her school served besides the burritos.	So she only bought lunch when they were serving them.	So she skipped eating a lunch in her school.	But one day, it was announced that they would no longer serve them. Sarah recorded herself eating her last school burrito. Sarah save the video.	DEPRECATED	-1	-1	-1
Sarah didn't like the food her school served besides the burritos.	So she only bought lunch when they were serving them.	So she skipped eating a lunch in her school.	But one day, it was announced that they would no longer serve them. Sarah recorded herself eating her last school burrito. Sarah save the video.	But one day, she was hungry and decided to go to the cafeteria. Sarah was hungry and her stomach was full. She was hungry and she wanted to eat.	5.011584281921387	5.2312188148498535	4.387248516082764
Sarah didn't like the food her school served besides the burritos.	So she only bought lunch when they were serving them.	So she skipped eating a lunch in her school.	But one day, it was announced that they would no longer serve them. Sarah recorded herself eating her last school burrito. Sarah save the video.	But she didn't want to miss her lunch. She didn't want to miss her lunch. She didn't want to miss her lunch.	-1	-1	-1
Sarah didn't like the food her school served besides the burritos.	So she only bought lunch when they were serving them.	So she skipped eating a lunch in her school.	But one day, it was announced that they would no longer serve them. Sarah recorded herself eating her last school burrito. Sarah save the video.	But one day, she was hungry and they gave her a burrito. Sarah was so excited. She ate the burrito and then went to her room to change.	5.037206649780273	5.266162872314453	3.171677589416504
Sarah didn't like the food her school served besides the burritos.	So she only bought lunch when they were serving them.	So she skipped eating a lunch in her school.	But one day, it was announced that they would no longer serve them. Sarah recorded herself eating her last school burrito. Sarah save the video.	But she didn't want to miss that lunch. Sarah was a student at the school. She was the only one who could eat lunch.	4.906835079193115	5.237813472747803	3.2591611544291177
Jim was in high school as he heard the tell tale tornado siren.	He felt a growing panic as he saw the green color of the sky.	Luckily it was just a drill.	Everyone moved into the hallway and kept their backs to the wall. He heard the whipping wind grow stronger outside. Jim was scared.	"I was in the middle of the woods and I heard the siren and I thought, 'Oh my God, I'm going to die,'" Jim said. "I was in the middle of the woods and I heard the siren and I thought, 'Oh my God,	5.182812690734863	5.2383856773376465	3.4739368756612143
Jim was in high school as he heard the tell tale tornado siren.	He felt a growing panic as he saw the green color of the sky.	Luckily it was just a drill.	Everyone moved into the hallway and kept their backs to the wall. He heard the whipping wind grow stronger outside. Jim was scared.	"I was in the middle of the woods and I heard the siren and I thought, 'Oh my God, I'm going to die,'" Jim said. Jim was scared.	5.182812690734863	5.244664669036865	3.4604325691858926
Jim was in high school as he heard the tell tale tornado siren.	He felt a growing panic as he saw the green color of the sky.	Luckily it was just a drill.	Everyone moved into the hallway and kept their backs to the wall. He heard the whipping wind grow stronger outside. Jim was scared.	DEPRECATED	-1	-1	-1
Jim was in high school as he heard the tell tale tornado siren.	He felt a growing panic as he saw the green color of the sky.	Luckily it was just a drill.	Everyone moved into the hallway and kept their backs to the wall. He heard the whipping wind grow stronger outside. Jim was scared.	DEPRECATED	-1	-1	-1
Jim was in high school as he heard the tell tale tornado siren.	He felt a growing panic as he saw the green color of the sky.	Luckily it was just a drill.	Everyone moved into the hallway and kept their backs to the wall. He heard the whipping wind grow stronger outside. Jim was scared.	DEPRECATED	-1	-1	-1
Jim was in high school as he heard the tell tale tornado siren.	He felt a growing panic as he saw the green color of the sky.	Luckily it was just a drill.	Everyone moved into the hallway and kept their backs to the wall. He heard the whipping wind grow stronger outside. Jim was scared.	DEPRECATED	-1	-1	-1
Jim was in high school as he heard the tell tale tornado siren.	He felt a growing panic as he saw the green color of the sky.	Luckily it was just a drill.	Everyone moved into the hallway and kept their backs to the wall. He heard the whipping wind grow stronger outside. Jim was scared.	DEPRECATED	-1	-1	-1
Jim was in high school as he heard the tell tale tornado siren.	He felt a growing panic as he saw the green color of the sky.	Luckily it was just a drill.	Everyone moved into the hallway and kept their backs to the wall. He heard the whipping wind grow stronger outside. Jim was scared.	DEPRECATED	-1	-1	-1
I had to reprimand two employees that worked at different locations.	I hated doing it and thought the matter was done with.	Perhaps I overdid it, because both quit at the end of the day.	Weeks later, one left a message about a question on paperwork. I phoned with: "It's me" and she said horrible things about me. I was forced to fire the employee.	I had to reprimand two employees that worked at different locations. Perhaps I overdid it, because both quit at the end of the day. I was fired from my job at a restaurant in the middle of the night.	5.302374839782715	5.326366424560547	4.294776995976766
I had to reprimand two employees that worked at different locations.	I hated doing it and thought the matter was done with.	Perhaps I overdid it, because both quit at the end of the day.	Weeks later, one left a message about a question on paperwork. I phoned with: "It's me" and she said horrible things about me. I was forced to fire the employee.	I had to reprimand two employees that worked at different locations. Perhaps I overdid it, because both quit at the end of the day. I was forced to fire the employee who was responsible for the "no smokingshow" at the end of the day.	5.302374839782715	5.3272833824157715	5.114187876383464
I had to reprimand two employees that worked at different locations.	I hated doing it and thought the matter was done with.	Perhaps I overdid it, because both quit at the end of the day.	Weeks later, one left a message about a question on paperwork. I phoned with: "It's me" and she said horrible things about me. I was forced to fire the employee.	DEPRECATED	-1	-1	-1
I had to reprimand two employees that worked at different locations.	I hated doing it and thought the matter was done with.	Perhaps I overdid it, because both quit at the end of the day.	Weeks later, one left a message about a question on paperwork. I phoned with: "It's me" and she said horrible things about me. I was forced to fire the employee.	I had to reprimand two employees that worked at different locations. Perhaps I overdid it, because both quit at the end of the day. I was forced to fire the employee who was responsible for the "no smokingsmoking" policy.	5.302374839782715	5.326311111450195	4.539603551228841
I had to reprimand two employees that worked at different locations.	I hated doing it and thought the matter was done with.	Perhaps I overdid it, because both quit at the end of the day.	Weeks later, one left a message about a question on paperwork. I phoned with: "It's me" and she said horrible things about me. I was forced to fire the employee.	I had to reprimand two employees that worked at different locations. Perhaps I overdid it, because both quit at the end of the day. I was forced to fire the employee who was responsible for not paying his salary.	5.302374839782715	5.326773643493652	4.573808193206787
I had to reprimand two employees that worked at different locations.	I hated doing it and thought the matter was done with.	Perhaps I overdid it, because both quit at the end of the day.	Weeks later, one left a message about a question on paperwork. I phoned with: "It's me" and she said horrible things about me. I was forced to fire the employee.	I had to reprimand two employees that worked at different locations. Perhaps I overdid it, because both quit at the end of the day. I was forced to fire the employee who was responsible for the "no smokingshow" policy.	5.302374839782715	5.326340198516846	4.593104521433513
I had to reprimand two employees that worked at different locations.	I hated doing it and thought the matter was done with.	Perhaps I overdid it, because both quit at the end of the day.	Weeks later, one left a message about a question on paperwork. I phoned with: "It's me" and she said horrible things about me. I was forced to fire the employee.	DEPRECATED	-1	-1	-1
I had to reprimand two employees that worked at different locations.	I hated doing it and thought the matter was done with.	Perhaps I overdid it, because both quit at the end of the day.	Weeks later, one left a message about a question on paperwork. I phoned with: "It's me" and she said horrible things about me. I was forced to fire the employee.	DEPRECATED	-1	-1	-1
Ally and Jill went for a walk.	It was cold outside and it started to snow.	It was a gorgeous sunny day.	They were far away from their house and started to get very cold. They decided to knock on a stranger's door for some help. The stranger offered them hot chocolate.	They were walking along the beach when and Jill was wearing a pink bikini. They decided to go on a walk. The beach was beautiful.	5.102344512939453	5.184210300445557	3.722355683644613
Ally and Jill went for a walk.	It was cold outside and it started to snow.	It was a gorgeous sunny day.	They were far away from their house and started to get very cold. They decided to knock on a stranger's door for some help. The stranger offered them hot chocolate.	DEPRECATED	-1	-1	-1
Ally and Jill went for a walk.	It was cold outside and it started to snow.	It was a gorgeous sunny day.	They were far away from their house and started to get very cold. They decided to knock on a stranger's door for some help. The stranger offered them hot chocolate.	DEPRECATED	-1	-1	-1
Ally and Jill went for a walk.	It was cold outside and it started to snow.	It was a gorgeous sunny day.	They were far away from their house and started to get very cold. They decided to knock on a stranger's door for some help. The stranger offered them hot chocolate.	DEPRECATED	-1	-1	-1
Ally and Jill went for a walk.	It was cold outside and it started to snow.	It was a gorgeous sunny day.	They were far away from their house and started to get very cold. They decided to knock on a stranger's door for some help. The stranger offered them hot chocolate.	They were walking along the beach when and Jill was wearing a pink bikini. They decided to take a walk. The beach was beautiful and the sun was shining.	5.102344512939453	5.185795307159424	3.8059677282969155
Ally and Jill went for a walk.	It was cold outside and it started to snow.	It was a gorgeous sunny day.	They were far away from their house and started to get very cold. They decided to knock on a stranger's door for some help. The stranger offered them hot chocolate.	They were walking along the beach when and Jill was wearing a pink bikini. They were walking along the beach when Ally suddenly stopped and looked at her. She was wearing a pink bikini.	5.102344512939453	5.237192630767822	4.60668667157491
Ally and Jill went for a walk.	It was cold outside and it started to snow.	It was a gorgeous sunny day.	They were far away from their house and started to get very cold. They decided to knock on a stranger's door for some help. The stranger offered them hot chocolate.	DEPRECATED	-1	-1	-1
Ally and Jill went for a walk.	It was cold outside and it started to snow.	It was a gorgeous sunny day.	They were far away from their house and started to get very cold. They decided to knock on a stranger's door for some help. The stranger offered them hot chocolate.	They were walking along the beach when and Jill was wearing a pink bikini. Ally was wearing a white bikini. The sun was shining and the beach was calm.	5.102344512939453	5.228845596313477	3.628889878590902
I went to the park to play frisbee with my dog.	I tossed the frisbee to my dog and he would catch it in his mouth.	I cut up the frisbee in front of my dog.	I accidentally threw the frisbee too far. The frisbee landed into the pond. But my dog went and got it.	I was so excited to see the frisbee. The frisbee was so shiny and shiny. I was so excited and I was so excited to see the frisbee.	5.255947589874268	5.249293804168701	5.201349099477132
I went to the park to play frisbee with my dog.	I tossed the frisbee to my dog and he would catch it in his mouth.	I cut up the frisbee in front of my dog.	I accidentally threw the frisbee too far. The frisbee landed into the pond. But my dog went and got it.	I was so excited to see the frisbee. The frisbee landed on the ground. I was so excited and I was so happy.	5.255947589874268	5.27737283706665	3.4119203177591166
I went to the park to play frisbee with my dog.	I tossed the frisbee to my dog and he would catch it in his mouth.	I cut up the frisbee in front of my dog.	I accidentally threw the frisbee too far. The frisbee landed into the pond. But my dog went and got it.	DEPRECATED	-1	-1	-1
I went to the park to play frisbee with my dog.	I tossed the frisbee to my dog and he would catch it in his mouth.	I cut up the frisbee in front of my dog.	I accidentally threw the frisbee too far. The frisbee landed into the pond. But my dog went and got it.	DEPRECATED	-1	-1	-1
I went to the park to play frisbee with my dog.	I tossed the frisbee to my dog and he would catch it in his mouth.	I cut up the frisbee in front of my dog.	I accidentally threw the frisbee too far. The frisbee landed into the pond. But my dog went and got it.	DEPRECATED	-1	-1	-1
I went to the park to play frisbee with my dog.	I tossed the frisbee to my dog and he would catch it in his mouth.	I cut up the frisbee in front of my dog.	I accidentally threw the frisbee too far. The frisbee landed into the pond. But my dog went and got it.	DEPRECATED	-1	-1	-1
I went to the park to play frisbee with my dog.	I tossed the frisbee to my dog and he would catch it in his mouth.	I cut up the frisbee in front of my dog.	I accidentally threw the frisbee too far. The frisbee landed into the pond. But my dog went and got it.	DEPRECATED	-1	-1	-1
I went to the park to play frisbee with my dog.	I tossed the frisbee to my dog and he would catch it in his mouth.	I cut up the frisbee in front of my dog.	I accidentally threw the frisbee too far. The frisbee landed into the pond. But my dog went and got it.	DEPRECATED	-1	-1	-1
Pam left her son with a new babysitter.	She told her that her son was allergic to peanut butter.	She told her that her son loved peanut butter.	But the babysitter gave him peanut butter oatmeal. The babysitter had to call the hospital. Pam was furious with the babysitter.	But the babysitter was a peanut butter addict. The babysitter had to be put down. Pam was furious.	5.284831523895264	5.294442653656006	3.9315531253814697
Pam left her son with a new babysitter.	She told her that her son was allergic to peanut butter.	She told her that her son loved peanut butter.	But the babysitter gave him peanut butter oatmeal. The babysitter had to call the hospital. Pam was furious with the babysitter.	But the babysitter was a peanut butter addict. The babysitter had to be hospitalized. Pam was furious with the babysitter.	5.284831523895264	5.300344467163086	5.136997699737549
Pam left her son with a new babysitter.	She told her that her son was allergic to peanut butter.	She told her that her son loved peanut butter.	But the babysitter gave him peanut butter oatmeal. The babysitter had to call the hospital. Pam was furious with the babysitter.	DEPRECATED	-1	-1	-1
Pam left her son with a new babysitter.	She told her that her son was allergic to peanut butter.	She told her that her son loved peanut butter.	But the babysitter gave him peanut butter oatmeal. The babysitter had to call the hospital. Pam was furious with the babysitter.	DEPRECATED	-1	-1	-1
Pam left her son with a new babysitter.	She told her that her son was allergic to peanut butter.	She told her that her son loved peanut butter.	But the babysitter gave him peanut butter oatmeal. The babysitter had to call the hospital. Pam was furious with the babysitter.	But the babysitter was a peanut butter addict. She would eat the peanut butter and then she would eat the peanut butter again. She was so addicted that she would eat the peanut butter and then she would eat the peanut butter again.	-1	-1	-1
Pam left her son with a new babysitter.	She told her that her son was allergic to peanut butter.	She told her that her son loved peanut butter.	But the babysitter gave him peanut butter oatmeal. The babysitter had to call the hospital. Pam was furious with the babysitter.	But the babysitter was a peanut butter addict. The babysitter had to be hospitalized. Pam's son was a little boy.	5.284831523895264	5.307403087615967	4.261525472005208
Pam left her son with a new babysitter.	She told her that her son was allergic to peanut butter.	She told her that her son loved peanut butter.	But the babysitter gave him peanut butter oatmeal. The babysitter had to call the hospital. Pam was furious with the babysitter.	But the babysitter was a peanut butter addict. The babysitter had to be hospitalized. Pam was furious.	5.284831523895264	5.3005595207214355	4.011157115300496
Pam left her son with a new babysitter.	She told her that her son was allergic to peanut butter.	She told her that her son loved peanut butter.	But the babysitter gave him peanut butter oatmeal. The babysitter had to call the hospital. Pam was furious with the babysitter.	DEPRECATED	-1	-1	-1
Amy wanted to make waffles for breakfast.	She whipped up some batter quickly.	She couldn't find a recipe anywhere.	She poured the batter into the maker. When she was eating them there were lumps of dry batter. Amy was disappointed.	She was so frustrated. When she was in the kitchen, she would make waffles. She was so excited.	2.284174919128418	5.210644245147705	1.8031972646713257
Amy wanted to make waffles for breakfast.	She whipped up some batter quickly.	She couldn't find a recipe anywhere.	She poured the batter into the maker. When she was eating them there were lumps of dry batter. Amy was disappointed.	She was so frustrated. She had tried everything from the internet, but nothing seemed to work. Amy was so frustrated.	2.284174919128418	5.0745015144348145	2.4239423274993896
Amy wanted to make waffles for breakfast.	She whipped up some batter quickly.	She couldn't find a recipe anywhere.	She poured the batter into the maker. When she was eating them there were lumps of dry batter. Amy was disappointed.	She was the only one who knew. She was the only one who could make waffles. Amy was the only one who could make waffles.	-1	-1	-1
Amy wanted to make waffles for breakfast.	She whipped up some batter quickly.	She couldn't find a recipe anywhere.	She poured the batter into the maker. When she was eating them there were lumps of dry batter. Amy was disappointed.	She was the only one who knew how to make waffles. When she was in high school, she made waffles at home. Amy was a good cook, but she didn't know how to make waffles.	5.244293212890625	5.256676197052002	5.23358138402303
Amy wanted to make waffles for breakfast.	She whipped up some batter quickly.	She couldn't find a recipe anywhere.	She poured the batter into the maker. When she was eating them there were lumps of dry batter. Amy was disappointed.	She was so frustrated. She was so hungry. Amy was so hungry.	2.284174919128418	4.741997241973877	2.791077136993408
Amy wanted to make waffles for breakfast.	She whipped up some batter quickly.	She couldn't find a recipe anywhere.	She poured the batter into the maker. When she was eating them there were lumps of dry batter. Amy was disappointed.	She was the only one who knew how to make waffles. When she was eating them, she would always get a little bit of a headache. Amy was a little bit of a waffle addict.	5.244293212890625	5.277674674987793	3.9934359391530356
Amy wanted to make waffles for breakfast.	She whipped up some batter quickly.	She couldn't find a recipe anywhere.	She poured the batter into the maker. When she was eating them there were lumps of dry batter. Amy was disappointed.	She was so excited to try one. She was so excited to try one. Amy was so excited to try one.	-1	-1	-1
Amy wanted to make waffles for breakfast.	She whipped up some batter quickly.	She couldn't find a recipe anywhere.	She poured the batter into the maker. When she was eating them there were lumps of dry batter. Amy was disappointed.	She was the only one who knew how to make waffles. When she was eating them, she would always smiling. Amy was the sweetheart.	5.244293212890625	5.266552925109863	3.709206740061442
Ivy needed a way to feed her family on Thanksgiving.	She entered into her local grocery store's raffle for a turkey.	She went to the local grocery store and stole a turkey.	She submitted her receipts every week with her phone number on them. A week before Thanksgiving, Ivy got a happy phone call. She had won the drawing and the turkey was hers.	She then went to the local grocery store and stole a bag. A week later, she went to a local grocery store. She had a bag of turkey and a bag of turkey.	5.182957649230957	5.291559219360352	4.827010949452718
Ivy needed a way to feed her family on Thanksgiving.	She entered into her local grocery store's raffle for a turkey.	She went to the local grocery store and stole a turkey.	She submitted her receipts every week with her phone number on them. A week before Thanksgiving, Ivy got a happy phone call. She had won the drawing and the turkey was hers.	She then went to the local grocery store and stole a bag. She then went to the local grocery store and stole a bag. She then went to the local grocery store and stole a bag.	-1	-1	-1
Ivy needed a way to feed her family on Thanksgiving.	She entered into her local grocery store's raffle for a turkey.	She went to the local grocery store and stole a turkey.	She submitted her receipts every week with her phone number on them. A week before Thanksgiving, Ivy got a happy phone call. She had won the drawing and the turkey was hers.	DEPRECATED	-1	-1	-1
Ivy needed a way to feed her family on Thanksgiving.	She entered into her local grocery store's raffle for a turkey.	She went to the local grocery store and stole a turkey.	She submitted her receipts every week with her phone number on them. A week before Thanksgiving, Ivy got a happy phone call. She had won the drawing and the turkey was hers.	DEPRECATED	-1	-1	-1
Ivy needed a way to feed her family on Thanksgiving.	She entered into her local grocery store's raffle for a turkey.	She went to the local grocery store and stole a turkey.	She submitted her receipts every week with her phone number on them. A week before Thanksgiving, Ivy got a happy phone call. She had won the drawing and the turkey was hers.	DEPRECATED	-1	-1	-1
Ivy needed a way to feed her family on Thanksgiving.	She entered into her local grocery store's raffle for a turkey.	She went to the local grocery store and stole a turkey.	She submitted her receipts every week with her phone number on them. A week before Thanksgiving, Ivy got a happy phone call. She had won the drawing and the turkey was hers.	DEPRECATED	-1	-1	-1
Ivy needed a way to feed her family on Thanksgiving.	She entered into her local grocery store's raffle for a turkey.	She went to the local grocery store and stole a turkey.	She submitted her receipts every week with her phone number on them. A week before Thanksgiving, Ivy got a happy phone call. She had won the drawing and the turkey was hers.	DEPRECATED	-1	-1	-1
Ivy needed a way to feed her family on Thanksgiving.	She entered into her local grocery store's raffle for a turkey.	She went to the local grocery store and stole a turkey.	She submitted her receipts every week with her phone number on them. A week before Thanksgiving, Ivy got a happy phone call. She had won the drawing and the turkey was hers.	DEPRECATED	-1	-1	-1
A family was driving home from vacation in Florida.	They noticed a space museum and decided to stop.	They were in a rush to get home, because they had forgotten to leave enough water for the dog to drink.	They went inside and checked out all of the exhibits. After that, they watched a movie about space. The family was glad they spotted the museum.	They went to the water fountain, but the dog started to drink. The family was so upset that they called the police. The police arrived and they took the dog to the vet.	5.136513710021973	5.222448825836182	4.430933554967244
A family was driving home from vacation in Florida.	They noticed a space museum and decided to stop.	They were in a rush to get home, because they had forgotten to leave enough water for the dog to drink.	They went inside and checked out all of the exhibits. After that, they watched a movie about space. The family was glad they spotted the museum.	They went to the water fountain and noticed the water was running low. After a few minutes, a family member noticed the water was running low and They called the water company and they told them to refill the water. The family was glad they did, because they were able to get home and enjoy their vacation.	-1	-1	-1
A family was driving home from vacation in Florida.	They noticed a space museum and decided to stop.	They were in a rush to get home, because they had forgotten to leave enough water for the dog to drink.	They went inside and checked out all of the exhibits. After that, they watched a movie about space. The family was glad they spotted the museum.	They went to the store to buy water, but the store was closed. The family decided in a panic, and they decided to drive home. The family was driving home from vacation in Florida.	4.778090953826904	5.2731404304504395	4.351134618123372
A family was driving home from vacation in Florida.	They noticed a space museum and decided to stop.	They were in a rush to get home, because they had forgotten to leave enough water for the dog to drink.	They went inside and checked out all of the exhibits. After that, they watched a movie about space. The family was glad they spotted the museum.	They went to the store to buy water, but the store was closed. After a while they realized that the store was closed, and they had to drive back to the house. The family was driving the back seat of the car, and the dog was in the front seat.	4.778090953826904	5.235976219177246	4.4921713670094805
A family was driving home from vacation in Florida.	They noticed a space museum and decided to stop.	They were in a rush to get home, because they had forgotten to leave enough water for the dog to drink.	They went inside and checked out all of the exhibits. After that, they watched a movie about space. The family was glad they spotted the museum.	They were driving and the dog was not drinking. After a couple of minutes, the family noticed the dog was not drinking. The family was concerned and called the police.	5.134532928466797	5.2521514892578125	5.033385117848714
A family was driving home from vacation in Florida.	They noticed a space museum and decided to stop.	They were in a rush to get home, because they had forgotten to leave enough water for the dog to drink.	They went inside and checked out all of the exhibits. After that, they watched a movie about space. The family was glad they spotted the museum.	They went to the store to buy water, but the store was closed. After a while they realized that they dog was thirsty and needed water. The family was able to find the water.	4.778090953826904	5.254322528839111	4.63819694519043
A family was driving home from vacation in Florida.	They noticed a space museum and decided to stop.	They were in a rush to get home, because they had forgotten to leave enough water for the dog to drink.	They went inside and checked out all of the exhibits. After that, they watched a movie about space. The family was glad they spotted the museum.	DEPRECATED	-1	-1	-1
A family was driving home from vacation in Florida.	They noticed a space museum and decided to stop.	They were in a rush to get home, because they had forgotten to leave enough water for the dog to drink.	They went inside and checked out all of the exhibits. After that, they watched a movie about space. The family was glad they spotted the museum.	They were driving and the dog was running around in the back seat. The family, who was a couple, decided to take the dog to the vet. The vet was concerned about the dog's health and decided to give the dog a shot of antibiotics.	4.865147590637207	5.147005081176758	4.985174179077148
Last night I was trying to bake a casserole.	I decided to have a cup of wine while I waited.	It looked too difficult, so i gave up and went to the mall to buy a jock strap.	One cup turned into three and then more. Before I realized it I fell asleep. By the time I woke up, the casserole was burned.	I was so excited to try it out. I was so excited I fell asleep. I woke up this morning and was so excited to try it out.	3.401020050048828	3.1522390842437744	3.128418286641439
Last night I was trying to bake a casserole.	I decided to have a cup of wine while I waited.	It looked too difficult, so i gave up and went to the mall to buy a jock strap.	One cup turned into three and then more. Before I realized it I fell asleep. By the time I woke up, the casserole was burned.	DEPRECATED	-1	-1	-1
Last night I was trying to bake a casserole.	I decided to have a cup of wine while I waited.	It looked too difficult, so i gave up and went to the mall to buy a jock strap.	One cup turned into three and then more. Before I realized it I fell asleep. By the time I woke up, the casserole was burned.	I was so excited to try it out. I was so excited I forgot to take a picture of it. I was so excited I forgot to take a picture of it.	-1	-1	-1
